word_x	word_y	f_xy	f_x	f_y	pmi
dig	ace	7	40	15	8.451211111832329
medical	81	4	49	7	8.450610114097794
center	detention	5	73	6	8.419815915556795
truck	driver	4	13	27	8.417347659966044
town	square	9	61	13	8.41142282600894
arrest	warrant	5	49	9	8.409968129600447
electric	gas	3	14	19	8.402354945490572
author	co	3	14	19	8.402354945490572
memorial	contribution	4	40	9	8.380821783940931
son	born	7	40	16	8.358101707440847
twitter	facebook	3	11	25	8.35434957257974
revenue	percent	8	21	35	8.35107444054688
company	pharmaceutical	3	92	3	8.349112924213593
church	baptist	24	89	25	8.338047760250639
brother	predecease	3	31	9	8.333516069162574
association	memorials	3	20	14	8.328354364046795
revenue	million	4	21	18	8.310432456049533
serve	areas	6	95	6	8.302819271939658
set	sentencing	3	95	3	8.302819271939658
yard	touchdown	13	59	21	8.298154126271097
public	intoxication	3	96	3	8.287712379549449
billion	percent	4	11	35	8.283960244688341
above	average	14	41	33	8.278083678351672
single	garage	3	29	10	8.277728290976828
center	fulton	3	73	4	8.267812822111745
fail	conversion	6	39	15	8.265344566520994
locate	ave	3	49	6	8.257965036155397
daughter	born	7	43	16	8.253765047626112
health	mental	4	33	12	8.243318260190996
150	average	3	9	33	8.243318260190996
prize	cash	3	23	13	8.233635706793656
non	profit	4	25	16	8.228818690495881
threaten	non	3	12	25	8.228818690495881
e	aug	3	16	19	8.209709867548176
target	potential	3	19	16	8.209709867548176
today	jul	3	102	3	8.20024953829911
today	sep	7	102	7	8.20024953829911
today	moving	19	102	19	8.20024953829911
comment	unavailable	4	69	6	8.17918792277128
garden	rear	5	37	14	8.177794687471414
government	federal	7	52	14	8.172235162129514
door	lock	4	52	8	8.172235162129514
church	lutheran	5	89	6	8.133907043470414
church	methodist	5	89	6	8.133907043470414
below	sep	3	46	7	8.126720502877145
appreciate	greatly	4	43	10	8.124482030681145
death	precede	4	44	10	8.091315166745947
2016	65	3	48	7	8.065319958213001
staff	writer	5	28	20	8.065319958213001
knife	cut	3	8	43	8.031372626289665
guest	speaker	3	15	23	8.027184829326231
baptist	memorials	3	25	14	8.006426269159434
50	average	7	25	33	7.991779493195032
church	missionary	3	89	4	7.981903950025364
fund	proceeds	3	51	7	7.977857116962662
$	billion	6	65	11	7.97583794932601
4	boost	3	72	5	7.965784284662087
mark	anniversary	4	37	13	7.962781796500564
service	graveside	4	121	4	7.953811642996011
until	exhibition	3	52	7	7.949842740793065
150	above	3	9	41	7.930160374931366
buy	prescription	4	50	10	7.906890595608519
percent	million	5	35	18	7.895394956770689
comment	decline	12	69	22	7.889681305576295
set	precedent	3	95	4	7.887781772660814
center	81	4	73	7	7.875495399332984
october	clark	3	32	12	7.872674880270606
close	average	19	74	33	7.866754908726788
30	average	12	47	33	7.858654409955671
$	million	9	65	18	7.850307067242151
term	disclose	3	26	15	7.850307067242151
force	task	3	23	17	7.84661258368441
access	rear	3	28	14	7.842927536876553
bear	1925	3	131	3	7.8392518787331555
bear	1919	3	131	3	7.8392518787331555
bear	1921	3	131	3	7.8392518787331555
rise	percent	4	15	35	7.836501267717121
marry	1972	3	132	3	7.828280760912152
marry	1959	3	132	3	7.828280760912152
nov	moving	5	35	19	7.817392444769416
dinner	breakfast	4	27	20	7.795859283219775
incident	occur	4	45	12	7.795859283219775
st	henry	3	51	8	7.785212039020267
oct	moving	4	29	19	7.766766371699448
fish	hunt	5	30	23	7.764150423492437
finish	43	3	104	4	7.757197662850669
wear	clothe	4	37	15	7.756330919033138
brilliant	absolutely	5	17	41	7.7495881292895445
suffer	injury	9	34	37	7.745683674833629
daily	editor	3	25	17	7.726318349966697
yard	carry	12	59	29	7.717013336502348
mae	2016	3	9	48	7.7027498788282935
2016	copyright	3	48	9	7.7027498788282935
private	interment	3	36	12	7.7027498788282935
public	schools	4	96	6	7.7027498788282935
contest	enter	3	15	29	7.692765790255671
light	ceil	4	65	9	7.680382065799839
above	50	7	41	25	7.678621607935401
lunch	breakfast	3	22	20	7.676277667467102
courtesy	photo	11	20	81	7.670328401135916
threaten	injury	3	12	37	7.663221514641656
worker	employ	4	23	26	7.648673206072501
response	overwhelm	4	50	12	7.643856189774724
$	revenue	9	65	21	7.627914645905703
appearance	court	3	12	38	7.6247473668270205
bear	1923	6	131	7	7.616859457396707
room	dine	4	68	9	7.6152870375779536
its	boost	3	92	5	7.612147330047386
regular	exercise	3	21	22	7.605888339575705
pm	2014	3	22	21	7.605888339575705
happy	birthday	7	72	15	7.603214205277379
carry	rush	3	29	16	7.59965638586419
until	2017	3	52	9	7.587272661408357
real	estate	7	91	12	7.587272661408357
yard	rush	6	59	16	7.57499433162992
price	target	7	58	19	7.574121293757052
investigate	accident	3	19	25	7.565853677773451
room	en	3	68	7	7.562819617683818
american	memorials	3	34	14	7.562819617683818
social	medium	4	32	20	7.550746785383243
memorial	clark	3	40	12	7.550746785383243
part	integral	3	120	4	7.550746785383243
issue	citation	7	140	8	7.550746785383243
long	overdue	3	121	4	7.538774143717167
march	1939	3	41	12	7.515122875652522
steal	rebound	3	17	29	7.51219354461385
2011	george	3	26	19	7.509270149407084
1941	marry	4	5	132	7.50635266602479
image	courtesy	4	33	20	7.50635266602479
st	patrick	4	51	13	7.499809820158018
set	tone	4	95	7	7.495464349882053
injure	accident	3	20	25	7.491853096329675
before	testify	3	72	7	7.480357457491845
catch	touchdown	6	48	21	7.480357457491845
suite	white	3	14	36	7.480357457491845
economic	development	5	18	47	7.470089122038019
25	feb	3	34	15	7.463283944132904
down	shut	3	73	7	7.4604579000541404
line	bottom	4	62	11	7.459046951246433
investigate	incident	5	19	45	7.454822365384707
hospital	transport	5	66	13	7.449769137658422
without	prescription	5	86	10	7.446410125568508
rear	window	3	14	37	7.440829093305208
st	burial	10	51	34	7.434714791936133
price	reasonable	3	58	9	7.429731384421878
bear	1933	6	131	8	7.424214379454312
bear	1922	3	131	4	7.424214379454312
bear	1931	3	131	4	7.424214379454312
bear	1958	3	131	4	7.424214379454312
bear	eva	3	131	4	7.424214379454312
bear	1954	3	131	4	7.424214379454312
below	moving	5	46	19	7.42311350565737
st	cemetery	14	51	48	7.422641959635558
announce	retirement	3	33	16	7.413243261633308
marry	1952	3	132	4	7.413243261633308
marry	frances	3	132	4	7.413243261633308
average	200	3	33	16	7.413243261633308
marry	1971	3	132	4	7.413243261633308
marry	1937	3	132	4	7.413243261633308
beer	drink	3	16	33	7.413243261633308
marry	1987	3	132	4	7.413243261633308
today	average	19	102	33	7.403782932384242
hall	reception	3	28	19	7.402354945490572
file	suit	3	28	19	7.402354945490572
county	detention	4	119	6	7.392894616241506
medical	2008	3	49	11	7.383495918239256
link	click	3	20	27	7.380821783940931
hand	shake	5	60	15	7.380821783940931
head	shake	5	60	15	7.380821783940931
revenue	source	3	21	26	7.364880240071909
friend	lifelong	3	78	7	7.364880240071909
grab	rebound	3	19	29	7.351728872420604
oct	william	3	29	19	7.351728872420604
13	born	3	35	16	7.328354364046795
stay	tune	4	75	10	7.321928094887363
cause	determine	4	63	12	7.310432456049533
player	avid	3	52	11	7.297766044213372
nine	rebound	5	33	29	7.292227860671942
tuesday	resume	3	48	12	7.28771237954945
since	2003	3	58	10	7.277728290976827
$	rise	5	65	15	7.265344566520995
eight	ace	3	39	15	7.265344566520995
promise	campaign	4	26	30	7.265344566520995
medical	treatment	5	49	20	7.257965036155397
central	heat	3	21	28	7.257965036155397
4	stake	4	72	11	7.243318260190996
marry	seminole	4	132	6	7.243318260190996
board	unanimously	4	72	11	7.243318260190996
part	vital	3	120	5	7.22881869049588
victim	treatment	3	30	20	7.22881869049588
daughter	sarah	3	43	14	7.22401770423206
creation	job	3	5	121	7.2168460488298045
its	stake	5	92	11	7.211609400463658
water	bottle	4	81	10	7.210896782498619
die	92	3	204	3	7.20024953829911
st	interment	3	51	12	7.20024953829911
die	louisburg	3	204	3	7.20024953829911
die	97	4	204	4	7.20024953829911
kill	ace	6	82	15	7.193194780765159
piece	suite	3	44	14	7.19085084029686
remove	heat	3	22	28	7.19085084029686
obama	president	6	21	59	7.18267690885116
double	standard	6	54	23	7.1791879227712805
traffic	p.m	3	26	24	7.172235162129513
funeral	p.m	4	35	24	7.158429362604483
regional	mrs	4	16	53	7.144754425707406
above	30	9	41	47	7.1304590254171965
high	graduate	20	110	39	7.12784104277106
january	2009	3	36	18	7.117787378107137
board	chairman	3	72	9	7.117787378107137
card	credit	4	27	32	7.117787378107137
meet	preside	3	130	5	7.113341473075945
close	above	14	74	41	7.113024432081176
below	average	7	46	33	7.112073726912743
bear	ind	3	131	5	7.102286284566949
50	nov	4	25	35	7.099535673550914
anything	else	5	50	22	7.091315166745946
hospital	ambulance	3	66	10	7.091315166745946
find	hogg	4	220	4	7.091315166745946
hospital	memorial	12	66	40	7.091315166745946
marry	1957	3	132	5	7.091315166745946
find	lettings	3	220	3	7.091315166745946
find	howison	4	220	4	7.091315166745946
find	slater	4	220	4	7.091315166745946
common	sense	6	34	39	7.084772320879174
close	150	3	74	9	7.0782590139204995
$	per	7	65	24	7.072699488578599
future	bright	4	64	14	7.065319958213001
monitor	situation	3	9	75	7.058893689053568
ace	assist	4	15	60	7.058893689053568
street	east	4	50	18	7.058893689053568
over	hob	3	169	4	7.056757944709577
day	moving	19	226	19	7.052495917855418
day	sep	7	226	7	7.052495917855418
day	jul	3	226	3	7.052495917855418
day	rainy	3	226	3	7.052495917855418
lesson	learn	3	11	62	7.0440094519675895
available	tickets	5	114	10	7.0397848661058635
god	bless	3	38	18	7.0397848661058635
police	investigate	9	108	19	7.0397848661058635
bear	1934	4	131	7	7.031896956675551
approve	commission	3	30	23	7.02718482932623
average	nov	5	33	35	7.020925838854548
non	injury	4	25	37	7.019365324866931
church	united	5	89	13	7.018429826050478
free	admission	4	103	9	7.016249351645075
4	quarter	8	72	26	7.002310160687201
dig	kill	14	40	82	7.000549702822764
investigate	department	3	19	37	7.000256501919226
city	kansas	6	128	11	6.9982057623544645
school	elementary	3	177	4	6.990031830908764
member	baptist	9	85	25	6.989352755800492
church	springs	3	89	8	6.981903950025364
church	services	3	89	8	6.981903950025364
ltd	serve	4	10	95	6.980891177052295
august	2014	3	34	21	6.977857116962662
die	81	6	204	7	6.977857116962662
average	oct	4	33	29	6.9702997657845795
stop	shot	5	100	12	6.965784284662087
7	p.m	3	30	24	6.965784284662087
benefit	foundation	4	48	20	6.965784284662087
find	marketed	21	220	23	6.960070633467693
50	oct	3	25	29	6.955800196089465
house	collapse	3	104	7	6.949842740793065
group	environmental	4	89	11	6.937509830666911
kill	hannah	3	82	9	6.930160374931366
review	film	5	28	44	6.927816434463066
seven	rebound	6	51	29	6.927231043892694
course	golf	3	53	14	6.922362004370958
10	tackle	3	53	14	6.922362004370958
church	memorials	5	89	14	6.911514622133966
article	originally	3	68	11	6.910742921104125
august	pm	3	34	22	6.910742921104125
page	appear	4	27	37	6.908334012478187
news	fox	3	84	9	6.895394956770689
$	percent	9	65	35	6.890949051739497
consider	myself	4	44	23	6.889681305576295
see	cvent	3	253	3	6.889681305576295
die	zebulon	4	204	5	6.878321443411748
around	corner	5	85	15	6.878321443411748
city	oklahoma	4	128	8	6.872674880270606
$	cost	17	65	67	6.871680718034718
money	owe	3	97	8	6.857724538804634
new	zealand	3	260	3	6.850307067242151
new	jersey	3	260	3	6.850307067242151
marry	1929	3	132	6	6.828280760912152
hospital	clark	3	66	12	6.828280760912152
marry	oklahoma	4	132	8	6.828280760912152
per	average	3	24	33	6.828280760912152
pm	2016	4	22	48	6.828280760912152
8	p.m	3	33	24	6.828280760912152
hospital	rush	4	66	16	6.828280760912152
close	50	7	74	25	6.826720246924535
point	rebound	25	228	29	6.825660060753016
reception	club	3	19	42	6.817392444769416
center	2008	3	73	11	6.808381203474447
st	mary	4	51	21	6.80793211552035
$	000	7	65	29	6.799680994172183
thursday	2013	4	54	20	6.795859283219775
problem	solve	9	143	17	6.795265703684189
play	guitar	5	226	6	6.789461512021624
block	kill	13	43	82	6.789297839091516
18	wednesday	4	35	31	6.7891955529387635
report	contribute	10	118	23	6.788397969739114
die	salem	3	204	4	6.785212039020267
service	fellowship	4	121	9	6.783886641553699
pass	away	26	75	95	6.774440299584869
several	suggest	3	55	15	6.769387071858584
medical	center	13	49	73	6.768580195416472
between	difference	5	33	42	6.757891433020754
effect	term	3	32	26	6.757197662850669
follow	reception	10	146	19	6.7568509028343655
lead	conversion	6	111	15	6.756330919033138
injury	serious	4	37	30	6.756330919033138
town	email	9	61	41	6.754310539531948
marry	aug	9	132	19	6.750278248910879
14	residence	3	44	19	6.750278248910879
above	today	15	41	102	6.7495881292895445
july	2013	5	70	20	6.743391863325639
individual	conduct	3	35	24	6.743391863325639
request	upon	3	40	21	6.743391863325639
entry	post	4	17	66	6.740817919661812
change	climate	4	225	5	6.7369655941662066
over	preside	3	169	5	6.734829849822215
over	hood	3	169	5	6.734829849822215
road	p.m	5	59	24	6.726997425074971
hold	meeting	5	95	15	6.717856771218502
block	avenue	3	43	20	6.709444531402301
above	nov	5	41	35	6.707767953594918
attitude	positive	3	24	36	6.7027498788282935
2015	january	3	24	36	6.7027498788282935
mistake	learn	3	14	62	6.696086148547282
under	influence	3	62	14	6.696086148547282
close	30	12	74	47	6.693595163685175
000	foot	3	29	30	6.692765790255671
home	arrangements	6	194	9	6.687799537362322
funeral	baptist	3	35	25	6.684498174272071
center	regional	4	73	16	6.682850321390588
follow	interment	6	146	12	6.682850321390588
teacher	grade	3	40	22	6.676277667467102
50	30	4	25	47	6.674229838818244
company	oil	5	92	16	6.671041019100955
room	shower	3	68	13	6.66973482160033
again	once	5	82	18	6.6671259690975715
opinion	join	3	24	37	6.663221514641656
die	2007	11	204	16	6.659681156936407
me	remind	5	249	6	6.649638542368731
its	quarter	8	92	26	6.648673206072501
book	jail	5	75	20	6.643856189774724
dig	assist	8	40	60	6.643856189774724
old	twenty	3	101	9	6.629500896797655
june	27	3	48	19	6.6247473668270205
tuesday	aug	3	48	19	6.6247473668270205
29	2016	3	19	48	6.6247473668270205
bear	ohio	3	131	7	6.616859457396707
150	today	3	9	102	6.6152870375779536
4	0	4	72	17	6.6152870375779536
die	88	4	204	6	6.6152870375779536
son	recently	3	40	23	6.612147330047386
score	inning	3	71	13	6.607450543345988
marry	1942	3	132	7	6.605888339575705
may	memorials	11	242	14	6.605888339575705
$	target	4	65	19	6.602379553798565
price	potential	3	58	16	6.59965638586419
october	2012	3	32	29	6.59965638586419
event	sponsor	13	135	30	6.589408405752348
bear	1939	5	131	12	6.576217472899361
provide	training	3	118	8	6.57499433162992
catch	yard	9	48	59	6.57499433162992
increase	percent	5	45	35	6.573466861883327
marry	1939	5	132	12	6.565246355078358
room	suite	3	68	14	6.562819617683818
mrs	24	5	53	30	6.55979192498625
3	pound	4	91	14	6.557525318014306
park	garage	3	96	10	6.550746785383243
die	2008	7	204	11	6.548172841719417
follow	twitter	5	146	11	6.545346797640653
ace	five	4	15	86	6.539519529959989
6	pm	3	44	22	6.538774143717167
home	funeral	21	194	35	6.535796443917271
program	successful	4	100	13	6.528378972354789
break	cycle	3	75	13	6.528378972354789
into	custody	7	228	10	6.5252116932761055
life	pro	4	163	8	6.523946726039528
issue	warn	3	140	7	6.520999441989191
follow	fellowship	4	146	9	6.512925319948276
december	2012	3	34	29	6.51219354461385
30	nov	5	47	35	6.510731106535364
action	commission	3	43	23	6.507810670232651
dig	nine	4	40	33	6.50635266602479
approve	council	3	30	33	6.50635266602479
per	person	5	24	69	6.501116017658642
lead	offense	3	111	9	6.493296513199343
investigation	under	7	38	62	6.477905978497749
may	hospice	5	242	7	6.468384815825769
county	jail	7	119	20	6.463283944132904
die	82	3	204	5	6.463283944132904
die	wayne	3	204	5	6.463283944132904
die	80	3	204	5	6.463283944132904
december	24	3	34	30	6.463283944132904
die	83	3	204	5	6.463283944132904
memorial	burial	4	40	34	6.463283944132904
insurance	health	3	31	33	6.459046951246433
thursday	29	3	54	19	6.454822365384707
watch	video	10	65	53	6.444314707566314
position	quarter	4	53	26	6.444314707566314
property	marketed	5	75	23	6.442222328605074
school	graduate	20	177	39	6.441595206212722
access	garden	3	28	37	6.440829093305208
private	cemetery	5	36	48	6.439715472994499
new	hampshire	3	260	4	6.435269567963307
meet	absent	3	130	8	6.435269567963307
oct	2016	4	29	48	6.429731384421878
bear	anna	3	131	8	6.424214379454312
bear	1947	3	131	8	6.424214379454312
august	wednesday	3	34	31	6.415978229354547
local	economy	4	64	22	6.413243261633308
marry	1947	3	132	8	6.413243261633308
school	principal	3	177	6	6.405069330187608
win	championship	3	177	6	6.405069330187608
follow	burial	14	146	34	6.402742402197853
direction	under	4	23	62	6.394916613826718
county	lincoln	3	119	9	6.392894616241506
visit	website	6	63	34	6.392894616241506
donation	fund	3	21	51	6.392894616241506
community	involvement	3	119	9	6.392894616241506
murder	charge	5	23	78	6.385638800238707
goal	score	15	76	71	6.381890842930857
ticket	sale	3	40	27	6.380821783940931
black	white	3	30	36	6.380821783940931
9	september	3	30	36	6.380821783940931
bear	31	4	131	11	6.379820260095858
police	department	11	108	37	6.367765631115485
new	york	10	260	14	6.364880240071909
50	today	7	25	102	6.36374827058199
level	low	4	41	36	6.34519787421021
wear	black	3	37	30	6.341293419754294
jackson	mrs	3	21	53	6.337399503649802
8	december	3	33	34	6.325780420382969
active	member	5	22	85	6.325780420382969
eight	rebound	3	39	29	6.314254167001941
vehicle	driver	3	42	27	6.310432456049533
period	during	4	20	76	6.302819271939658
access	room	5	28	68	6.299785211850025
19	march	3	28	41	6.292730454316074
park	interment	3	96	12	6.28771237954945
2016	28	3	48	24	6.28771237954945
before	christmas	3	72	16	6.28771237954945
up	wake	5	214	9	6.283210987314509
family	friends	3	166	7	6.275243027587233
family	extend	3	166	7	6.275243027587233
offer	assistance	3	97	12	6.272762038083478
lead	tackle	4	111	14	6.270904091862896
center	2007	3	73	16	6.267812822111744
raise	quarter	3	45	26	6.265344566520995
deny	charge	5	25	78	6.265344566520995
save	net	3	69	17	6.2616500829632535
day	average	19	226	33	6.25602931194055
long	term	8	121	26	6.253371924854918
association	president	3	20	59	6.2530662367425585
dog	hot	3	37	32	6.248184015362812
enjoy	hunt	6	103	23	6.24757489775153
marry	sept	7	132	21	6.243318260190996
between	relationship	3	33	36	6.243318260190996
two	rbis	4	264	6	6.243318260190996
thursday	pm	3	54	22	6.243318260190996
close	today	19	74	102	6.238723686113746
door	prize	3	52	23	6.233635706793657
today	30	12	102	47	6.230623187342629
monday	2015	3	50	24	6.22881869049588
pass	2016	9	75	48	6.22881869049588
2016	26	3	48	25	6.22881869049588
per	cost	4	24	67	6.221623189091677
receive	prize	4	70	23	6.219829907268626
child	adult	5	101	20	6.214463397518811
make	contributions	3	404	3	6.214463397518811
july	2012	5	70	29	6.207338963085429
attend	baptist	4	65	25	6.206450877467426
board	chair	3	72	17	6.20024953829911
die	l	3	204	6	6.20024953829911
private	burial	3	36	34	6.20024953829911
die	84	3	204	6	6.20024953829911
register	visit	4	26	63	6.194955238629597
service	officiate	5	121	17	6.188276896633034
locate	road	7	49	59	6.18267690885116
six	touchdown	3	59	21	6.18267690885116
how	define	4	238	7	6.170502194905058
how	dare	4	238	7	6.170502194905058
run	exhibition	3	179	7	6.166466681669901
bear	jan	5	131	16	6.161179973620517
cause	cancer	3	63	20	6.158429362604483
other	areas	3	210	6	6.158429362604483
pass	0	3	75	17	6.141355849245541
14	oct	3	44	29	6.140224767226893
14	rebound	3	44	29	6.140224767226893
14	2012	3	44	29	6.140224767226893
six	rebound	4	59	29	6.132050835781192
announce	winner	3	33	39	6.12784104277106
die	residence	9	204	19	6.122247026297837
property	owner	4	75	23	6.120294233717711
invite	public	4	18	96	6.117787378107137
thursday	june	6	54	48	6.117787378107137
thursday	p.m	3	54	24	6.117787378107137
september	2016	4	36	48	6.117787378107137
three	ace	5	144	15	6.117787378107137
case	investigate	4	91	19	6.116952726628324
teach	grade	3	59	22	6.115562712992623
street	wall	3	50	26	6.113341473075945
above	video	5	41	53	6.109130515976685
bear	pennsylvania	3	131	10	6.102286284566949
die	feb	7	204	15	6.1007138647481955
feel	comfortable	4	159	11	6.100360306348953
17	july	4	25	70	6.099535673550914
july	26	4	70	25	6.099535673550914
follow	cemetery	16	146	48	6.097887820669432
marry	d	3	132	10	6.091315166745946
hospital	children	3	66	20	6.091315166745946
cover	floor	3	33	40	6.091315166745946
find	ltd	5	220	10	6.091315166745946
hospital	treatment	3	66	20	6.091315166745946
loss	suffer	3	39	34	6.084772320879174
attend	college	5	65	34	6.084772320879174
die	2011	12	204	26	6.084772320879174
residence	july	3	19	70	6.080426850603209
energy	clean	3	37	36	6.0782590139204995
message	send	3	43	31	6.077176315902789
off	kick	4	94	19	6.070158515149383
move	forward	5	86	26	6.067898502314778
decision	appeal	4	78	23	6.063710705351345
street	across	3	50	27	6.058893689053568
play	piano	4	226	8	6.052495917855418
arrest	suspect	4	49	37	6.048511670526447
ticket	purchase	3	40	34	6.04824644485406
service	rev	4	121	15	6.046921047387492
round	pick	3	35	39	6.042952145184547
vote	cast	3	76	18	6.0397848661058635
16	september	3	38	36	6.0397848661058635
16	2016	4	38	48	6.0397848661058635
officer	arrest	6	56	49	6.03557261481895
bear	mary	6	131	21	6.031896956675551
bear	nov	10	131	35	6.031896956675551
photo	submit	3	81	17	6.0303245368567975
die	2009	8	204	18	6.0303245368567975
its	concrete	3	92	15	6.02718482932623
are	afraid	3	69	20	6.02718482932623
explain	difference	3	33	42	6.020925838854548
cause	death	6	63	44	6.020925838854548
jackson	hospital	3	21	66	6.020925838854548
much	than	15	239	29	6.020717672770804
follow	suit	6	146	19	6.019885308668159
an	official	4	64	29	6.014693885143034
need	desperately	4	373	5	6.007714965128005
die	jan	7	204	16	6.007604460356714
15	nov	3	40	35	6.006426269159433
son	13	3	40	35	6.006426269159433
thursday	2011	3	54	26	6.002310160687201
chief	police	3	13	108	6.002310160687201
bill	clinton	4	67	28	5.999230767755229
run	touchdown	8	179	21	5.996541680227589
easy	task	3	83	17	5.995135108394497
service	funeral	9	121	35	5.994453627493357
thursday	funeral	4	54	35	5.98850436116217
